ID,Código,Nome,GTIN,SKU,Marca,Descrição
151,"ASTE_ALU","ALUFORCE CB CA ASTER","7896819201515","SKU-ASTE_ALU","Aluforce","ALUFORCE CB CA ASTER"
316,"ASTE_LAB","LABOR CB CA ASTER","7896819203168","SKU-ASTE_LAB","Labor Energy","LABOR CB CA ASTER"
117,"CET2.15_ALU","ALUFORCE CB DE POT²NCIA 2x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201171","SKU-CET2.15_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 2x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
280,"CET2.15_LAB","LABOR CB DE POT²NCIA 2x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202802","SKU-CET2.15_LAB","Labor Energy","LABOR CB DE POT²NCIA 2x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
118,"CET2.25_ALU","ALUFORCE CB DE POT²NCIA 2x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201188","SKU-CET2.25_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 2x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
281,"CET2.25_LAB","LABOR CB DE POT²NCIA 2x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202819","SKU-CET2.25_LAB","Labor Energy","LABOR CB DE POT²NCIA 2x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
119,"CET2.40_ALU","ALUFORCE CB DE POT²NCIA 2x4,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201195","SKU-CET2.40_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 2x4,0mm² 0,6/1KV NBR 7286 AL/HEPR"
282,"CET2.40_LAB","LABOR CB DE POT²NCIA 2x4,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202826","SKU-CET2.40_LAB","Labor Energy","LABOR CB DE POT²NCIA 2x4,0mm² 0,6/1KV NBR 7286 AL/HEPR"
120,"CET2.60_ALU","ALUFORCE CB DE POT²NCIA 2x6,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201201","SKU-CET2.60_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 2x6,0mm² 0,6/1KV NBR 7286 AL/HEPR"
283,"CET2.60_LAB","LABOR CB DE POT²NCIA 2x6,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202833","SKU-CET2.60_LAB","Labor Energy","LABOR CB DE POT²NCIA 2x6,0mm² 0,6/1KV NBR 7286 AL/HEPR"
121,"CET3.15_ALU","ALUFORCE CB DE POT²NCIA 3x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201218","SKU-CET3.15_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 3x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
284,"CET3.15_LAB","LABOR CB DE POT²NCIA 3x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202840","SKU-CET3.15_LAB","Labor Energy","LABOR CB DE POT²NCIA 3x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
157,"CET3.25RP_ALU","ALUFORCE CB DE POT²NCIA 3x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201577","SKU-CET3.25RP_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 3x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
322,"CET3.25RP_LAB","LABOR CB DE POT²NCIA 3x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819203229","SKU-CET3.25RP_LAB","Labor Energy","LABOR CB DE POT²NCIA 3x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
122,"CET3.25_ALU","ALUFORCE CB DE POT²NCIA 3x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201225","SKU-CET3.25_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 3x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
285,"CET3.25_LAB","LABOR CB DE POT²NCIA 3x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202857","SKU-CET3.25_LAB","Labor Energy","LABOR CB DE POT²NCIA 3x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
123,"CET3.40_ALU","ALUFORCE CB DE POT²NCIA 3x4,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201232","SKU-CET3.40_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 3x4,0mm² 0,6/1KV NBR 7286 AL/HEPR"
286,"CET3.40_LAB","LABOR CB DE POT²NCIA 3x4,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202864","SKU-CET3.40_LAB","Labor Energy","LABOR CB DE POT²NCIA 3x4,0mm² 0,6/1KV NBR 7286 AL/HEPR"
